GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ABBREVIATION_HOME,SEASON_ID_HOME,PTS_5G_AVG_HOME,FG_PCT_5G_AVG_HOME,FG3_PCT_5G_AVG_HOME,FT_PCT_5G_AVG_HOME,REB_5G_AVG_HOME,AST_5G_AVG_HOME,TOV_5G_AVG_HOME,PLUS_MINUS_5G_AVG_HOME,WIN_5G_AVG_HOME,GAME_DATE_AWAY,TEAM_ID_AWAY,TEAM_ABBREVIATION_AWAY,SEASON_ID_AWAY,PTS_5G_AVG_AWAY,FG_PCT_5G_AVG_AWAY,FG3_PCT_5G_AVG_AWAY,FT_PCT_5G_AVG_AWAY,REB_5G_AVG_AWAY,AST_5G_AVG_AWAY,TOV_5G_AVG_AWAY,PLUS_MINUS_5G_AVG_AWAY,WIN_5G_AVG_AWAY,TARGET_WIN_HOME,TARGET_PLUS_MINUS_HOME,DIFF_PTS_5G_AVG,DIFF_FG_PCT_5G_AVG,DIFF_FG3_PCT_5G_AVG,DIFF_FT_PCT_5G_AVG,DIFF_REB_5G_AVG,DIFF_AST_5G_AVG,DIFF_TOV_5G_AVG,DIFF_PLUS_MINUS_5G_AVG,DIFF_WIN_5G_AVG,ELO_HOME,ELO_AWAY,DIFF_ELO
21400042,2014-11-02,1610612757,POR,22014,100.0,0.429,0.3625,0.8340000000000001,40.0,21.5,10.0,4.0,0.5,2014-11-02,1610612744,GSW,22014,111.0,0.497,0.35,0.788,43.5,25.5,21.0,20.5,1.0,0,-5.0,-11.0,-0.068,0.012500000000000011,0.04600000000000004,-3.5,-4.0,-11.0,-16.5,-0.5,1493.5119520142446,1511.4298659934827,-17.917913979238165
21400041,2014-11-02,1610612752,NYK,22014,87.5,0.4505,0.33799999999999997,0.8574999999999999,36.5,24.5,13.0,-9.5,0.5,2014-11-02,1610612766,CHA,22014,88.5,0.3835,0.286,0.706,47.0,22.0,15.0,0.0,0.5,1,3.0,-1.0,0.067,0.05199999999999999,0.15149999999999997,-10.5,2.5,-2.0,-9.5,0.0,1500.0,1493.5255670272502,6.47443297274981
21400043,2014-11-03,1610612755,PHI,22014,89.33333333333333,0.42533333333333334,0.26899999999999996,0.6143333333333333,40.333333333333336,21.666666666666668,17.0,-14.0,0.0,2014-11-03,1610612745,HOU,22014,105.33333333333333,0.455,0.4286666666666667,0.698,43.666666666666664,20.0,16.0,14.333333333333334,1.0,0,-11.0,-16.0,-0.029666666666666675,-0.15966666666666673,-0.08366666666666667,-3.3333333333333286,1.6666666666666679,1.0,-28.333333333333336,-1.0,1471.5338403271292,1508.5729086001502,-37.03906827302103
21400048,2014-11-03,1610612746,LAC,22014,101.0,0.41500000000000004,0.2956666666666667,0.798,34.666666666666664,21.666666666666668,11.0,1.3333333333333333,0.6666666666666666,2014-11-03,1610612762,UTA,22014,104.33333333333333,0.45999999999999996,0.2786666666666667,0.8436666666666666,42.0,19.0,14.0,-0.6666666666666666,0.3333333333333333,1,6.0,-3.3333333333333286,-0.04499999999999993,0.017000000000000015,-0.04566666666666652,-7.333333333333336,2.666666666666668,-3.0,2.0,0.3333333333333333,1500.7808353342841,1504.2576974451483,-3.4768621108642037
21400045,2014-11-03,1610612763,MEM,22014,91.0,0.44333333333333336,0.3026666666666667,0.7533333333333333,39.333333333333336,19.0,14.666666666666666,4.666666666666667,1.0,2014-11-03,1610612740,NOP,22014,102.5,0.4165,0.3015,0.617,54.5,22.0,11.0,6.0,0.5,1,12.0,-11.5,0.026833333333333376,0.0011666666666667047,0.1363333333333333,-15.166666666666664,-3.0,3.666666666666666,-1.333333333333333,0.5,1519.1078005573158,1490.4993520706716,28.608448486644193
21400047,2014-11-03,1610612743,DEN,22014,90.0,0.39549999999999996,0.2595,0.721,46.0,18.0,16.0,-0.5,0.5,2014-11-03,1610612758,SAC,22014,92.66666666666667,0.4093333333333333,0.289,0.8156666666666667,48.333333333333336,16.0,18.333333333333332,-1.0,0.6666666666666666,0,-5.0,-2.6666666666666714,-0.013833333333333364,-0.02949999999999997,-0.09466666666666668,-2.3333333333333357,2.0,-2.333333333333332,0.5,-0.16666666666666663,1492.6604153287597,1517.4131173636551,-24.752702034895492
21400046,2014-11-03,1610612742,DAL,22014,109.66666666666667,0.519,0.334,0.7346666666666666,40.333333333333336,22.333333333333332,10.333333333333334,7.333333333333333,0.6666666666666666,2014-11-03,1610612738,BOS,22014,105.5,0.4675,0.20199999999999999,0.7424999999999999,39.5,24.0,11.0,1.0,0.5,1,5.0,4.166666666666671,0.05149999999999999,0.13200000000000003,-0.007833333333333359,0.8333333333333357,-1.6666666666666679,-0.6666666666666661,6.333333333333333,0.16666666666666663,1519.6524815678395,1491.4270913998498,28.225390167989644
21400044,2014-11-03,1610612751,BKN,22014,103.5,0.4855,0.3185,0.8075,43.5,19.0,14.0,-2.0,0.5,2014-11-03,1610612760,OKC,22014,93.66666666666667,0.43366666666666664,0.237,0.7806666666666667,43.666666666666664,22.0,16.0,-3.0,0.3333333333333333,1,31.0,9.833333333333329,0.05183333333333334,0.08150000000000002,0.026833333333333265,-0.1666666666666643,-3.0,-2.0,1.0,0.16666666666666669,1515.9460727452463,1507.3395846712403,8.606488074005938
21400053,2014-11-04,1610612741,CHI,22014,106.0,0.48033333333333333,0.3673333333333333,0.791,42.333333333333336,20.333333333333332,16.0,6.333333333333333,0.6666666666666666,2014-11-04,1610612753,ORL,22014,92.33333333333333,0.4546666666666666,0.3713333333333333,0.6706666666666666,43.0,20.666666666666668,16.666666666666668,-12.333333333333334,0.0,1,8.0,13.666666666666671,0.025666666666666726,-0.0040000000000000036,0.1203333333333334,-0.6666666666666643,-0.3333333333333357,-0.6666666666666679,18.666666666666668,0.6666666666666666,1495.1288819116958,1471.8298946255347,23.298987286161037
21400055,2014-11-04,1610612757,POR,22014,96.66666666666667,0.42,0.328,0.7703333333333333,45.333333333333336,21.0,13.0,1.0,0.3333333333333333,2014-11-04,1610612739,CLE,22014,102.0,0.4255,0.2875,0.8645,42.5,20.0,14.0,0.5,0.5,1,19.0,-5.333333333333329,-0.005500000000000005,0.040500000000000036,-0.09416666666666673,2.8333333333333357,1.0,-1.0,0.5,-0.16666666666666669,1484.2329316915866,1510.7596710018104,-26.526739310223775
